Member,Total VP,MANA VP,LAND VP,NAMES VP,Delegated VP,Has Delegated,Delegate,Has Delegators,Delegators,Avatar Preview
0x4262f8bb5bd9ad132782d2a7279b532a1dc6bcbf,216.83232384867654,116.83232384867654,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x4262f8bb5bd9ad132782d2a7279b532a1dc6bcbf
0xce62a8b133c64192a0ddb7dabc172332f4629f42,1700.85352261214,0.8535226121401328,0,1700,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xce62a8b133c64192a0ddb7dabc172332f4629f42
0x02c400e731ebe4d4c80332a6c1dc0cba4620fa40,200,0,0,200,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x02c400e731ebe4d4c80332a6c1dc0cba4620fa40
0xa28956b7c1de87da8730bf9b3f34fe7b13b9a6dc,100,0,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xa28956b7c1de87da8730bf9b3f34fe7b13b9a6dc
0x43b2cc9004630b2912abbce0fdf09ff5a3cc144b,605,5,0,600,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x43b2cc9004630b2912abbce0fdf09ff5a3cc144b
0xf3f1f5cc169b39d488341d8737f085a6c6be7316,33819.975,19.975,0,33800,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xf3f1f5cc169b39d488341d8737f085a6c6be7316
0xa6fe83dcf28cc982818656ba680e03416824d5e4,100.00000251995995,0.000002519959946344,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xa6fe83dcf28cc982818656ba680e03416824d5e4
0x8b104344f397afc33ee55c743a0fbd7d956201cd,2993.39120645,693.39120645,2000,300,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x8b104344f397afc33ee55c743a0fbd7d956201cd
0x65813baedfd68029af5382672b0e4dd2e6f27952,2201.3692779510793,88.53719261107936,0,100,2012.83208534,No,,Yes,0x9a053dcbe69f1afe4c8d30d5a2faaedfb191e8bd,https://wearable-preview.decentraland.org/?profile=0x65813baedfd68029af5382672b0e4dd2e6f27952
0x447c9058be5c164e0c4aae380381e7a5215052d4,21162.12699512208,133.60115057471722,0,200,20828.525844547363,No,,Yes,"0x436b7f53ed49ff8795df189f66be0d93ac5e58ec,0x4c86663bbe4344b674c770464bd044bed7a7d78b,0x52ad8f3c506aa25b954276c5456060dad6f3fd7b",https://wearable-preview.decentraland.org/?profile=0x447c9058be5c164e0c4aae380381e7a5215052d4
0x9937e3e274be96a624d7cd00f384eb71c741dd1b,100519.17013736196,19.170137361950836,0,500,100000,No,,Yes,0x85f5ea026fb931e0380d905e649e1ffadfd99e1f,https://wearable-preview.decentraland.org/?profile=0x9937e3e274be96a624d7cd00f384eb71c741dd1b
0x5abea5436638a7d8340cfd11bbcc4289f513c8d3,35,35,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x5abea5436638a7d8340cfd11bbcc4289f513c8d3
0xb02365dc1a28d82cc454d05a765feee31ccc2b00,6165.517456374351,965.5174563743511,2000,3200,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xb02365dc1a28d82cc454d05a765feee31ccc2b00
0xb0bbdaa9ae02c947a75a38304abbc7f6aa091f6a,38.59420035497977,38.59420035497977,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xb0bbdaa9ae02c947a75a38304abbc7f6aa091f6a
0x9565361502656da980556f3b47d83a65794d1d5f,0,0,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x9565361502656da980556f3b47d83a65794d1d5f
0x8397bc3c5a60a1883174f722403d63a8833312b7,18.513046436184997,18.513046436184997,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x8397bc3c5a60a1883174f722403d63a8833312b7
0xaabfc54d77f37b4f437d34a3c415c56fafa05370,55.37765762021955,55.37765762021955,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xaabfc54d77f37b4f437d34a3c415c56fafa05370
0x0ec1a477a70fcb5d3c3dc6688cc4faa685e73414,151.57155960486125,51.571559604861264,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x0ec1a477a70fcb5d3c3dc6688cc4faa685e73414
0x86edb92e217605dbecf606548e48daaf1b817da1,1031047.5876416246,95.57441911719091,2000,200,1028752.0132225074,Yes,0x597d94248c5181232e83ee054b74f01548090f33,Yes,"0x3a572361910939dfc230bc010dadc9de7bd3af4b,0x9b3ae2dd9eaad174cf5700420d4861a5a73a2d2a,0x24e6f9789c3bd57c621b9449c560ea1b68e42bae,0xe6944ad18257ba893cb434ae2536ffbcecadda30,0x5a25fed1d5400142435d7ccd80a0d54a71ac835f,0x5f9aaacd65ab18dccab83703b3cbf0a983d91132,0x450509957921d290023ed848d27e6fa40045bb67,0xbcef8f991c4734565cf3b0ad910a2fe77d06afe4,0xccd5089557ae6a2ba063e8720e725a6bf743b3e8",https://wearable-preview.decentraland.org/?profile=0x86edb92e217605dbecf606548e48daaf1b817da1
0x64fa7bb0f6bc7761681a5d21286471cd4a7e185b,100,0,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x64fa7bb0f6bc7761681a5d21286471cd4a7e185b
0xd880e40e97cbdbc9456c2485556ec4bc5d3d1ddc,661.5483307235158,561.5483307235158,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xd880e40e97cbdbc9456c2485556ec4bc5d3d1ddc
0x930c981d82ae19c9e84f4f4f7e8de465417e0392,114.3355153412961,14.335515341296107,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x930c981d82ae19c9e84f4f4f7e8de465417e0392
0x185af8cf06431dacbc877ac754d21e86b4f68136,5097.7,2897.7,2000,200,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x185af8cf06431dacbc877ac754d21e86b4f68136
0x9b3ae2dd9eaad174cf5700420d4861a5a73a2d2a,11671.911133799224,9571.911133799224,2000,100,0,Yes,0x86edb92e217605dbecf606548e48daaf1b817da1,No,,https://wearable-preview.decentraland.org/?profile=0x9b3ae2dd9eaad174cf5700420d4861a5a73a2d2a
0x613e052555ac74ff6af0fc64e40e8035c1e9dcf8,101601.39220279267,1.3922027926809692,0,1600,100000,No,,Yes,0x738d58eb0fc3c59a51dcba97d74eb7e2b6f98bc1,https://wearable-preview.decentraland.org/?profile=0x613e052555ac74ff6af0fc64e40e8035c1e9dcf8
0x8218a2445679e38f358e42f88fe2125c98440d59,17285.055828528974,1285.0558285289737,0,0,16000,No,,Yes,0x50be245428d74ff499b19b5da6eecf6f30626eef,https://wearable-preview.decentraland.org/?profile=0x8218a2445679e38f358e42f88fe2125c98440d59
0x9dab43bc15bd29cfe3030ca1b7edb3eeb9f3b6c1,203356.57933167092,152.26811378179696,0,1300,201904.31121788913,No,,Yes,"0xfc81ab0e781624032f2a1c411af9eb14001fcbb7,0x5fc61b0cac10b7ae0fbbd2857dd133d1dc9023ae,0xc13381c99ea8e080df24910da63ee391d6dca5fa,0x95c7e19ed8ed78928c72fcbead8dcf908cf43d50,0x876d9bb007ec7795c5bf887832220b5b43cc9cfb,0xd6eff8f07caf3443a1178407d3de4129149d6ef6,0x6880a6932091f12da7ddff38caad7974225108ce,0xf3aad1e92c462a14ad62afed00ee1f20af8a45c6,0x52f8d5518a05366989b3baad9c8e1129ca317fc7,0x2795f579cfcce54ec2ac1a1d58ea6bca74379059,0xedce8440c3665a0affbf2e686d32a8d02ff361e4,0x059d0025e4e1bb1a37f2c922e54b139bc1231ee0",https://wearable-preview.decentraland.org/?profile=0x9dab43bc15bd29cfe3030ca1b7edb3eeb9f3b6c1
0xcecbe670c11d4d28678955f23e0d2d708d79c893,8831.06075897675,8731.06075897675,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xcecbe670c11d4d28678955f23e0d2d708d79c893
0x65c65ceb562535bdc275c61cb46aff38a062831b,10.052593725992221,10.052593725992221,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x65c65ceb562535bdc275c61cb46aff38a062831b
0x2fcd5b84e04ea940afff17173e67ec64376e1dfc,5225.016287027495,4525.016287027495,0,700,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x2fcd5b84e04ea940afff17173e67ec64376e1dfc
0x01fede4bb0f06ca47735be98b7a083a60c087a7d,1400.00000476725,1400.00000476725,0,0,0,Yes,0x86c62a0dd8690fa2ba6e3e3d9a18d021dbd2565a,No,,https://wearable-preview.decentraland.org/?profile=0x01fede4bb0f06ca47735be98b7a083a60c087a7d
0xbc02db030361121dd43bbb2fcbcb4f9f98c1dc7d,87502.293123561,2.2931235609954284,0,87500,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xbc02db030361121dd43bbb2fcbcb4f9f98c1dc7d
0x895be97bdb9f8a244c472b18ea96dee39ddf8fe5,60865.48861088419,20888.098995776807,14000,900,25077.389615107386,No,,Yes,"0x8f234b391a515ab315bd2ec9c7199c283e7e258a,0xa0c2089a9ae1b0f7482a0ec740891bf908a1d00f",https://wearable-preview.decentraland.org/?profile=0x895be97bdb9f8a244c472b18ea96dee39ddf8fe5
0xf68f5b88206aba201b8ec2913ad62df9f8d302d6,2214.506564998698,214.50656499869842,2000,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xf68f5b88206aba201b8ec2913ad62df9f8d302d6
0xed303bd83474a4337cbdee2b954e64aaf00bd2cc,600,0,0,600,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xed303bd83474a4337cbdee2b954e64aaf00bd2cc
0x6a77883ed4e65a1df591fda2f5252fd7c548f198,100671.3525673141,71.35256731410385,0,600,100000,No,,Yes,0x2cc81707b257923629352a89547c69e92f04b07f,https://wearable-preview.decentraland.org/?profile=0x6a77883ed4e65a1df591fda2f5252fd7c548f198
0xd5c9dd6c03eaa08e4b78885b5e4c81c446e9066f,0,0,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xd5c9dd6c03eaa08e4b78885b5e4c81c446e9066f
0x4a182a6619d05b35f142535143d87142086d7482,0,0,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x4a182a6619d05b35f142535143d87142086d7482
0x895197db55eef01c7fc2fb7e804bb2463ab96f28,0,0,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x895197db55eef01c7fc2fb7e804bb2463ab96f28
0x1a518a3e674a76324058822ca5d8688cffc5033b,90220,120,90000,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x1a518a3e674a76324058822ca5d8688cffc5033b
0xda436db56e7d5d7ceeb20003fc63acd4d8b465ba,1120.8098434512578,1020.8098434512578,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xda436db56e7d5d7ceeb20003fc63acd4d8b465ba
0x0d779d67a428457cabec145a0f94703d14cd496b,1531580.758378202,312130.758378202,0,700,1218750,No,,Yes,"0x59695e314adb7d7a48bb964e6122d4c11fe4a15d,0x0409b454db103199a9aee027f307b6a1cb830120,0xeaff451d088bed894ed20bd5f1d57942a9952201",https://wearable-preview.decentraland.org/?profile=0x0d779d67a428457cabec145a0f94703d14cd496b
0x29b54625d1ac801d995aa328881592548395518b,463.5842956891056,363.5842956891056,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x29b54625d1ac801d995aa328881592548395518b
0x9109358674f1c9a1a945a1d9880fb7ef1ddc43a3,53.761,53.761,0,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x9109358674f1c9a1a945a1d9880fb7ef1ddc43a3
0xecc354a6936b1c16c9aafbda40e7bdc87da58218,100.04564483,0.04564483,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xecc354a6936b1c16c9aafbda40e7bdc87da58218
0xa4244f6711052752e6bb0271bf17c756e6598406,159420.8364999331,103.45824035447512,0,1500,157817.37825957863,No,,Yes,"0x313d2a2e869acb93207b90dda03f412eb65db2d9,0x1679b02c6b75aa37b9f2de5252563bc1f668ed59,0x51f13c84b49b64ba6b1615e7d91b11066908bf3c",https://wearable-preview.decentraland.org/?profile=0xa4244f6711052752e6bb0271bf17c756e6598406
0x56d947fa1ae6d6293b307b489540c156af628f0f,601.3357813250603,1.3357813250603816,0,600,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x56d947fa1ae6d6293b307b489540c156af628f0f
0xf6852df0c0a18ac3a4cb4b5d470895f86d3861ce,2100,0,2000,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xf6852df0c0a18ac3a4cb4b5d470895f86d3861ce
0x598f8af1565003ae7456dac280a18ee826df7a2c,155251.3566300981,3888.595698425167,2000,300,149062.76093167294,No,,Yes,"0x103b3a31c6732c8615161757c64d2c5ed7daad38,0x9b04da63e17bfe3b966884439fe06318dbe03863,0x9caf2f699d62ef9602f5fc95d7f646d3c8659875",https://wearable-preview.decentraland.org/?profile=0x598f8af1565003ae7456dac280a18ee826df7a2c
0x5c180aa70558c859f60a21386c137e3018ac2929,500,0,0,500,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x5c180aa70558c859f60a21386c137e3018ac2929
0xd6eff8f07caf3443a1178407d3de4129149d6ef6,145943.78417521762,52.463569010330104,2000,2300,141591.3206062073,Yes,0x9dab43bc15bd29cfe3030ca1b7edb3eeb9f3b6c1,Yes,"0x4009f34dae89d04902dce24995594e57ff5830a6,0xc0d77bbc3aa2b8e74d89ee775828533eb35cff17,0x01e73804f0d44a289d69930552bb408cafafa26d,0x8fc2e87db46e107756d1363174f015d84178636d,0x55351d38a368a857e29dba232d9e20a309dacc3b,0x8d82acd00c2950e43500029804c36d478d89b321,0xa5f9db4203cd0f7c614484cfa38b40f3117cfe32,0x3f5ca37ff83a3d9cc4c47880ba2c61b9760cd278,0xcf10cd8b5dc2323b1eb6de6164647756bad4de4d,0xa4306309ab083662d81f7302b59799e2dc42f0d1",https://wearable-preview.decentraland.org/?profile=0xd6eff8f07caf3443a1178407d3de4129149d6ef6
0xaae2b1a243827ae93c59a0738fce17ce02f78f28,44100,44000,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xaae2b1a243827ae93c59a0738fce17ce02f78f28
0x63f587fc66d140368be6f808785937d63b8e6fc4,7799.098542704968,7699.098542704968,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x63f587fc66d140368be6f808785937d63b8e6fc4
0x4959f54f7b30224047ac3cae6bf147bbaee8b61c,420100,0,420000,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x4959f54f7b30224047ac3cae6bf147bbaee8b61c
0x0a05a8a135e3d1f035819dadb4484f74b104a346,1100,0,0,1100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x0a05a8a135e3d1f035819dadb4484f74b104a346
0xe161cc33f5b430be52aa69520d32cd3f39fa2be6,1858000,0,1858000,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xe161cc33f5b430be52aa69520d32cd3f39fa2be6
0x60e7357de5ec8c3b07f8efb3a8c1325811eb7db0,8793.371298512011,0.00022855395395,0,100,8693.371069958057,No,,Yes,0xf2fba890f3e1e0e7c1a9b8307cd993deea22422e,https://wearable-preview.decentraland.org/?profile=0x60e7357de5ec8c3b07f8efb3a8c1325811eb7db0
0x0f051a642a1c4b2c268c7d6a83186159b149021b,8743.23771486773,665.7377145099999,0,1200,6877.50000035773,Yes,0x597d94248c5181232e83ee054b74f01548090f33,Yes,"0x9f6f5e5c80d3b02f25ee587abf3c0add0fc75c26,0x30b1f4bd5476906f38385b891f2c09973196b742",https://wearable-preview.decentraland.org/?profile=0x0f051a642a1c4b2c268c7d6a83186159b149021b
0xd11a019a70986bd607cbc1c1f9ae221c78581f49,268900.6591,218800.6591,50000,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0xd11a019a70986bd607cbc1c1f9ae221c78581f49
0xf7748b4f60a8d36dcd6ccb3d30244baecb1429cf,398831.792181071,0,0,0,398831.792181071,No,,Yes,0xfa9aa3005f132ce8f91b3e1f84c01d84c375ce01,https://wearable-preview.decentraland.org/?profile=0xf7748b4f60a8d36dcd6ccb3d30244baecb1429cf
0x6d5e5ba88861df8dba0eb53ebad1ba89eb4b238b,100364.78784617461,264.78784617461065,0,100,100000,No,,Yes,0xe3d7bbed515351cca328575054ccb1b4bedf0330,https://wearable-preview.decentraland.org/?profile=0x6d5e5ba88861df8dba0eb53ebad1ba89eb4b238b
0x153b2252eddcb3690ae6f5e9f38be13779e1364d,603.9,3.9,0,500,100,No,,Yes,"0xa83f02acfa87526f0ac12008e017184803f6243a,0x4eec052d5e496066cc20592a2825b90456615670,0x66af4b64c955c23225a2da7753a58fd55d89495b",https://wearable-preview.decentraland.org/?profile=0x153b2252eddcb3690ae6f5e9f38be13779e1364d
0x9a1a3a6a46f78268f66712fade081a20551211d6,30000,0,30000,0,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x9a1a3a6a46f78268f66712fade081a20551211d6
0x247e0896706bb09245549e476257a0a1129db418,108500.22223464459,0.22223464459297787,2000,200,106300,No,,Yes,"0xb64abc83d12d1b7f61fa737ac5955c7ad06dce24,0x3362c60a8f4a8784e055cc895143876c40b19c9f,0x04b8553bac8e75cf75d5f4b2046feb063eb68038",https://wearable-preview.decentraland.org/?profile=0x247e0896706bb09245549e476257a0a1129db418
0x8ec394bc6a794e7ea0b4fb75b29dd6c563649d4c,550.2995963269732,450.29959632697324,0,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x8ec394bc6a794e7ea0b4fb75b29dd6c563649d4c
0x7e49bbc73e724a759bf83957fba077a99c893fe2,108.39963677055151,8.399636770551513,0,100,0,Yes,0x3026e5dca7a3f50a482d5f06fb18ce607386531b,No,,https://wearable-preview.decentraland.org/?profile=0x7e49bbc73e724a759bf83957fba077a99c893fe2
0xedf458ce355c755e1973778b51b917066d4c0bad,119381.63999741194,0,0,0,119381.63999741194,No,,Yes,"0x68627407ca788796a977c7a158deed771c537ad1,0xf5de8fcba3d15e35d181e382510b049b50ddab5c,0xb12ba0b2dc9d9811a7e3b1f76b3f8318bcb58f20",https://wearable-preview.decentraland.org/?profile=0xedf458ce355c755e1973778b51b917066d4c0bad
0x1e93e534c5e26b01ed242410b43ae23dd0faa52b,52518.88199999,40418.88199999,12000,100,0,No,,No,,https://wearable-preview.decentraland.org/?profile=0x1e93e534c5e26b01ed242410b43ae23dd0faa52b
